0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2.1483333,1.2795314,0.8067496,1.1146865,1.0209802,1.5810913,0.99193126,1.1252755,0.46621096,1.626183,1.2249147,1.3485845,1.5876831,1.6632825,0.7782981,1.187686,2.946461,2.0074613,0.9799569,2.193608,1.2440869,1.6197561,0.6997106,0.7772973,1.987503,1.4672636,1.8771515,2.4370632,0.03880717,1.3179121,1.1796527,1.7102594,1.8589875,1.2917479,0.6703131,1.934368,1.3252225,2.1414204,0.8333819,2.3931198,1.0934991,2.2079098,1.2808026,1.468084,1.4314266,1.9556116,1.1121081,1.898304,1.1571196,0.8786599,1.3140907,1.6213813,2.0278857,1.3206041,1.6406082,0.98133534,1.8749341,0.4545791,2.0168803,1.9167418,1.3470978,0.62066835,1.6908871,1.8080074
2.45434,1.2644788,0.6276138,1.2030271,1.0165548,1.2104908,1.0229775,1.1556079,0.42691803,1.5431566,1.0912818,1.6295199,1.4483777,1.8657552,0.7393279,1.6808008,3.122195,2.054614,1.2397038,2.9159448,1.321915,1.6585851,0.71437305,0.7766922,1.9918407,1.5808948,2.2917032,2.9631748,0.110710524,0.9745553,1.3525258,1.7994593,2.1921246,1.4638519,0.69787997,1.8831693,1.771162,2.0704157,1.0129509,2.425164,1.0370392,2.6750088,1.5628548,1.5795263,1.7705857,1.679937,1.3571377,2.1179087,1.2874097,0.8661811,1.4486202,1.8277026,1.8719572,1.4899732,1.9408525,1.0935937,1.9493071,0.46371722,2.0488117,2.0363393,1.2257098,0.73883206,1.6003972,1.8860527
1.1826506,0.83020663,1.0433893,0.7007697,0.7628749,1.1568899,1.0288779,0.44976783,1.1443195,1.3783647,1.8133602,0.84208685,1.6726295,1.0620095,1.1892334,0.17782302,1.2780786,1.1482579,0.8590455,0.5786906,0.66123325,0.8416624,0.8090642,0.8825585,1.2062067,0.39624357,0.26171702,0.59694856,0.017814606,1.4387923,1.4511093,0.80236244,1.029715,0.41077247,0.6344232,1.2800852,0.65511376,1.6948824,0.4162779,1.2508689,0.82548976,1.0594869,0.66226786,0.97381306,0.62590873,1.4462109,0.9322111,0.89436126,1.246837,0.72766304,0.7690347,1.4788827,1.6594796,0.688822,1.1961797,0.62267077,1.0018502,0.6640808,1.375372,0.3327081,0.66404045,1.0692388,0.8445758,1.4206762
0.68348384,0.93684334,1.1968626,0.45342204,0.8964283,1.6130079,2.0320446,0.579995,2.490785,1.1963183,2.6592731,1.0703851,1.5801958,0.98045754,1.7836326,0.41279414,0.8447683,1.1597775,0.71142507,0.3640064,0.695494,0.72843575,0.46736088,0.8337433,1.213787,0.28304848,0.056613903,0.17425354,0.100494266,1.2422277,0.91976804,1.0478312,0.7575755,1.1872025,0.9830707,1.2479442,0.9310093,1.8776172,0.6698666,1.3523545,0.8914795,0.5599358,0.5736436,1.7607943,0.45957756,1.4971505,0.62750363,0.538418,1.9993048,0.7176357,0.59172386,0.96427536,1.4692545,0.33121684,1.3066111,0.9755997,0.8280862,1.2070781,1.6583675,0.54709643,0.81135386,2.5180757,1.4822025,1.3678755
1.9924374,0.807108,0.67087555,0.86512923,0.83600944,0.98645097,0.6555001,1.337409,0.52721614,0.6491303,0.47964463,1.5127851,0.9612313,0.90749645,0.5919811,1.6872727,1.169166,0.881804,1.1576282,2.0634058,0.74591833,1.178749,1.1948323,0.8751915,0.5584402,1.1692469,1.3163375,2.535227,0.046644762,0.014796923,0.4611067,0.8873963,1.0270022,1.1042614,0.675314,0.6996724,1.1686606,0.5106637,1.7987566,1.4526671,0.88477546,0.9205103,1.2153076,1.0793676,1.0116004,0.5999494,0.93266517,0.8565834,1.5753397,1.0004715,1.2219527,1.236868,0.8820756,1.1556264,0.6132608,0.99666023,1.4529943,0.6162731,0.8366907,1.7411219,1.4690517,0.9753786,0.90932584,0.9957566
2.4682405,1.4170526,0.69604,1.26761,1.1339828,1.3956424,1.0895821,1.2918806,0.44573727,1.8163666,1.2094249,1.7119249,1.7116369,2.0822656,0.81761336,1.6292347,3.4233563,2.370884,1.17438,2.978101,1.4620854,1.6591234,0.7457054,0.8306203,2.3150797,1.6975943,2.3484209,2.988814,0.16020615,1.1898223,1.4164524,1.9575294,2.334611,1.4667367,0.74658316,2.0435717,1.7208643,2.3360035,0.9036353,2.614844,1.2137847,2.7133522,1.528097,1.6789116,1.7152125,1.9279121,1.3723706,2.2003422,1.3160825,0.9577434,1.4816303,1.8383822,2.144207,1.6153774,2.0530841,1.1284381,2.1960707,0.5099408,2.2860363,2.1656773,1.4083761,0.74922085,1.8166109,2.0447452
0.94656163,0.8993133,1.2807695,0.62595195,0.96133596,1.4945283,1.5566658,0.567969,1.7943727,1.5444354,2.8992147,0.9624028,1.8094134,0.9269748,1.5699897,0.13874881,1.1378062,1.1458154,0.8851378,0.3523309,0.7400236,0.6298847,0.7237758,1.1336424,1.2517341,0.14487611,0.070110105,0.31293294,0.008733347,1.4071994,1.1832372,0.87764543,0.7054004,0.5470752,0.89038247,1.2798053,0.79622597,1.7523588,0.5790723,1.3177553,0.9209204,0.56753373,0.56767243,0.92902774,0.62733024,1.4354135,0.61467475,0.5664804,1.2775197,0.5279176,0.70229894,1.4676577,1.5864143,0.5087232,1.073677,0.6723934,0.70368737,0.84328276,1.6117564,0.3517011,0.7469689,1.7553369,1.1230451,1.7239958
1.1545194,0.8248636,1.0711945,0.59504503,0.7171419,1.0006083,1.2363204,0.49242783,1.3299297,1.2003951,2.105059,0.8067592,1.5512185,0.90517235,1.0904444,0.06953355,0.9083407,0.95235413,0.84742576,0.47996128,0.54488766,0.81362915,0.74638766,0.8766311,0.9090913,0.10147476,0.09218401,0.49822947,0.05462295,1.2765797,1.3586315,0.6179301,0.8198982,0.30607122,0.6771768,1.2898588,0.7564192,1.581385,0.50310427,1.098922,0.6851255,0.70812845,0.62192374,0.796812,0.6623047,1.2320299,0.6650623,0.7549278,1.3653435,0.60258156,0.77226305,1.3705724,1.3735008,0.56982505,1.0570117,0.56278235,0.78040034,0.5743477,1.1981385,0.25131163,0.70665807,1.3769525,0.8109316,1.3540078
2.4286637,1.195142,0.6362334,1.1583346,0.98354024,1.1208113,1.1904213,0.984637,0.43020558,1.4588848,1.1405494,1.8885922,1.516636,1.8998188,0.6369507,1.6276178,2.862755,1.9372841,1.2004756,2.8008068,1.2198799,1.5458364,0.6642497,0.8184516,1.8136789,1.4275355,2.2316673,2.9319026,0.22331803,0.96184605,1.3155209,1.7858402,2.2774055,1.3501724,0.6217652,1.7275425,1.7545481,1.8816705,0.9751718,2.3141665,1.0172657,2.5890958,1.5896496,1.5730114,1.5735649,1.5249411,1.7923268,2.0886476,1.2139956,0.95102644,1.4539479,1.9110919,1.809884,1.4402136,1.916686,1.0655144,1.7920119,0.49493805,1.870495,1.9252945,1.0758518,0.7507191,1.483998,1.8169442
1.1616452,0.78582925,0.9521304,0.61539096,0.68406147,1.1777697,0.9201486,0.44922104,1.1297377,0.9532828,1.835652,0.82079715,1.2981232,0.6349514,1.0401859,0.3056876,1.0213028,1.0344245,0.8682242,0.47528887,0.63525647,0.773459,0.73570615,0.8890123,0.8965368,0.28374872,0.29920045,0.50809354,0.0171025,1.2410681,1.206185,0.6621461,0.90412444,0.38212273,0.58439416,1.2101537,0.731653,1.4033437,0.5632716,1.0684835,0.6553475,0.84107035,0.6926835,0.88879704,0.6448549,1.2364417,0.8316029,0.79413676,1.2378479,0.7074442,0.8345833,1.2549264,1.3304787,0.78120905,0.9820574,0.5854135,0.7025762,0.5699429,1.0930423,0.47761062,0.5003891,1.0788254,0.75070924,1.1581572
