year,month,day,hour,UMAP1,UMAP2
2013,3,1,0,-0.2547037899494171,14.147403717041016
2013,3,1,1,-0.1681503802537918,14.187067031860352
2013,3,1,2,-0.18630500137805936,14.077308654785156
2013,3,1,3,-0.1693706214427948,14.046151161193848
2013,3,1,4,-0.11797834932804108,14.000367164611816
2013,3,1,5,-0.11030179262161253,14.083910942077637
2013,3,1,6,-0.12344277650117874,14.053767204284668
2013,3,1,7,0.038052462041378014,13.952958106994627
2013,3,1,8,0.056634347885847085,13.949707984924316
2013,3,1,9,0.13461697101593015,13.831843376159668
2013,3,1,10,0.03541376069188117,13.814346313476562
2013,3,1,11,0.05054481327533722,13.756382942199709
2013,3,1,12,-0.04912861809134483,13.651057243347168
2013,3,1,13,-0.10859810560941696,13.654149055480955
2013,3,1,14,-0.13103406131267548,13.600374221801756
2013,3,1,15,-0.042153500020504,13.574431419372559
2013,3,1,16,-0.2896193563938141,13.337904930114746
2013,3,1,17,-0.5421239137649536,13.189257621765137
2013,3,1,18,-0.6614137291908264,13.014612197875977
2013,3,1,19,-0.7980703115463258,12.909059524536133
2013,3,1,20,-0.8578155040740967,12.8413724899292
2013,3,1,21,-0.9748723506927489,12.693202018737791
2013,3,1,22,-1.0746674537658691,12.470399856567383
2013,3,1,23,-1.1421766281127927,12.370522499084473
2013,3,2,0,-1.3074582815170288,12.092474937438965
2013,3,2,1,-1.403119683265686,11.79979419708252
2013,3,2,2,-1.516680121421814,11.580108642578123
2013,3,2,3,-1.6053972244262695,11.3572940826416
2013,3,2,4,-1.691679000854492,11.004828453063965
2013,3,2,5,-1.8686208724975584,10.40350341796875
2013,3,2,6,-1.8854012489318848,10.109615325927734
2013,3,2,7,-1.92106294631958,9.918642044067383
2013,3,2,8,-1.928263545036316,9.814845085144043
2013,3,2,9,-1.8920931816101076,9.76812744140625
2013,3,2,10,-1.8519928455352783,9.572720527648924
2013,3,2,11,-1.82209837436676,9.432623863220215
2013,3,2,12,-1.7768254280090332,9.267128944396973
2013,3,2,13,-1.695325255393982,9.09807014465332
2013,3,2,14,-1.655389428138733,8.92402648925781
2013,3,2,15,-1.6397926807403564,8.95516300201416
2013,3,2,16,-1.515891909599304,8.91637134552002
2013,3,2,17,-1.468063235282898,8.90353012084961
2013,3,2,18,-1.393930435180664,8.856900215148924
2013,3,2,19,-1.3792519569396973,8.868648529052734
2013,3,2,20,-1.3508048057556152,8.76067066192627
2013,3,2,21,-1.312949538230896,8.78608512878418
2013,3,2,22,-1.2490216493606567,8.750479698181152
2013,3,2,23,-1.117488384246826,8.593220710754393
2013,3,3,0,-1.066074252128601,8.673666000366211
2013,3,3,1,-0.8114687204360963,8.718405723571777
2013,3,3,2,-0.7275512218475341,8.757534980773924
2013,3,3,3,-0.6115515232086182,8.845359802246092
2013,3,3,4,-0.3858120441436768,8.978166580200195
2013,3,3,5,-0.1375058740377426,9.252065658569338
2013,3,3,6,0.07162661105394363,9.447557449340819
2013,3,3,7,0.16697122156620023,9.561331748962402
2013,3,3,8,0.23271979391574857,9.637115478515623
2013,3,3,9,0.32444342970848083,9.84954833984375
2013,3,3,10,0.5462419986724854,10.034544944763184
2013,3,3,11,0.7863582968711853,10.296762466430664
2013,3,3,12,1.0116119384765625,10.547268867492676
2013,3,3,13,1.2270525693893433,10.859986305236816
2013,3,3,14,1.3646928071975708,11.064794540405272
2013,3,3,15,1.4569290876388548,11.221707344055176
2013,3,3,16,1.5682311058044431,11.380167961120604
2013,3,3,17,1.5721672773361206,11.593575477600096
2013,3,3,18,1.5328086614608765,11.702374458312988
2013,3,3,19,1.4873812198638916,11.802409172058104
2013,3,3,20,1.447217345237732,12.079833984375
2013,3,3,21,1.3453974723815916,12.271187782287596
2013,3,3,22,1.3449029922485352,12.376954078674316
2013,3,3,23,1.3500970602035522,12.391520500183104
2013,3,4,0,1.118528127670288,12.32897663116455
2013,3,4,1,0.7865678071975709,12.238038063049316
2013,3,4,2,0.6522783041000366,12.074012756347656
2013,3,4,3,0.6649683117866516,12.02252197265625
2013,3,4,4,0.5646180510520935,11.833915710449219
2013,3,4,5,0.3714077472686768,11.547710418701172
2013,3,4,6,0.29908615350723267,11.425240516662596
2013,3,4,7,0.1985366493463516,11.115453720092772
2013,3,4,8,0.3101986944675445,10.478872299194336
2013,3,4,9,0.4007848501205444,9.96101665496826
2013,3,4,10,0.35592368245124817,9.837668418884276
2013,3,4,11,0.327066034078598,9.533416748046877
2013,3,4,12,0.2554926574230194,9.498894691467283
2013,3,4,13,0.26909738779068,9.214639663696287
2013,3,4,14,0.23122638463974,8.947467803955078
2013,3,4,15,0.2215246260166168,8.720039367675781
2013,3,4,16,0.10623630881309508,8.405146598815918
2013,3,4,17,0.07123269140720367,8.292342185974121
2013,3,4,18,-0.008391227573156355,8.176883697509766
2013,3,4,19,-0.06096044927835464,8.051844596862793
2013,3,4,20,-0.11755865812301636,8.024436950683594
2013,3,4,21,-0.2475898563861847,7.946363449096679
2013,3,4,22,-0.2668530941009521,7.860723972320557
2013,3,4,23,-0.5560402274131775,7.618599414825439
2013,3,5,0,-1.1877923011779783,7.2574143409728995
2013,3,5,1,-1.3557386398315427,7.1891183853149405
2013,3,5,2,-1.3934170007705688,7.16090202331543
2013,3,5,3,-1.413009762763977,7.122790336608888
2013,3,5,4,-1.4623379707336424,7.130611419677734
2013,3,5,5,-1.5085631608963013,7.0930352210998535
2013,3,5,6,-1.5801151990890503,7.073861598968506
2013,3,5,7,-1.5392005443572998,7.070383071899414
2013,3,5,8,-1.5877066850662231,7.0558271408081055
2013,3,5,9,-1.5772041082382202,7.060783386230469
2013,3,5,10,-1.5580675601959229,7.061167240142822
2013,3,5,11,-1.5610357522964475,7.055017471313477
2013,3,5,12,-1.595077395439148,7.047884941101073
2013,3,5,13,-1.5865380764007568,7.065264701843262
2013,3,5,14,-1.5970678329467771,7.0409812927246085
2013,3,5,15,-1.6133246421813965,7.0465593338012695
2013,3,5,16,-1.6247538328170776,7.049236297607422
2013,3,5,17,-1.6542680263519287,7.023622989654541
2013,3,5,18,-1.6786749362945557,7.0098748207092285
2013,3,5,19,-1.6909066438674927,7.022446155548096
2013,3,5,20,-1.7462000846862793,7.048763751983643
2013,3,5,21,-1.7569403648376465,7.051759243011475
2013,3,5,22,-1.771846055984497,7.043627262115479
2013,3,5,23,-1.7676713466644287,7.049270153045654
2013,3,6,0,-1.8113038539886477,7.061331272125244
2013,3,6,1,-1.826678156852722,7.062680721282959
2013,3,6,2,-1.8382849693298335,7.066157817840576
2013,3,6,3,-1.8679208755493164,7.076442241668701
2013,3,6,4,-1.8461381196975708,7.0604424476623535
2013,3,6,5,-1.9053719043731687,7.176858901977539
2013,3,6,6,-1.9348349571228027,7.090046405792236
2013,3,6,7,-1.922520995140076,7.129457473754883
2013,3,6,8,-1.9373028278350832,7.190706729888916
2013,3,6,9,-1.994550824165344,7.216097354888915
2013,3,6,10,-2.02329683303833,7.294718265533446
2013,3,6,11,-2.044748067855835,7.343312740325926
2013,3,6,12,-2.0769996643066406,7.443634986877441
2013,3,6,13,-2.155841827392578,7.549516677856444
2013,3,6,14,-2.2772183418273926,7.668036937713622
2013,3,6,15,-2.3598358631134038,7.747277259826659
2013,3,6,16,-2.3200862407684326,7.7024312019348145
2013,3,6,17,-2.198107481002808,7.619840145111085
2013,3,6,18,-2.161537408828736,7.544298648834228
2013,3,6,19,-2.020474433898926,7.61070442199707
2013,3,6,20,-1.8434684276580808,7.702699184417725
2013,3,6,21,-1.7943825721740723,7.699611186981201
