year,month,day,UMAP1,UMAP2,AQI
2013,3,1,9.98043211301168,-0.534639158907036,1.0
2013,3,2,10.276620507240295,2.6694806069135666,2.0
2013,3,3,8.35335777203242,2.1732670199126005,3.0
2013,3,4,7.301292955875397,7.067959680532415,2.0
2013,3,5,6.596866091092427,9.443954428037008,5.0
2013,3,6,6.541055719057719,9.638309001922607,5.0
2013,3,7,6.5447243849436445,9.579507748285929,6.0
2013,3,8,6.71803343296051,6.294434726238251,5.0
2013,3,9,8.018704315026602,0.0117602764318386,3.0
2013,3,10,7.430885434150696,6.785855333010356,2.0
2013,3,11,6.79509299993515,5.374739706516266,3.0
2013,3,12,6.599422991275787,1.986429681031344,4.0
2013,3,13,8.379489103953043,2.8532837165209157,1.0
2013,3,14,7.178728083769481,6.137238423029582,3.0
2013,3,15,6.843588689963023,5.915839374065399,5.0
2013,3,16,6.807489017645518,6.035841882228851,5.0
2013,3,21,5.1505789160728455,2.1398187428712845,4.0
2013,3,22,4.643143365780513,1.498554854343335,3.0
2013,3,23,6.975135028362274,0.4224467721457282,2.0
2013,3,24,7.640437185764313,1.6737605755527811,1.0
2013,3,27,4.465037564436595,-0.6335429552321633,3.0
2013,3,28,7.415172358353932,1.5775420839587848,2.0
2013,3,29,8.681550105412802,3.975344489018122,3.0
2013,3,30,6.847901304562886,4.010388970375061,3.0
2013,3,31,6.966659605503082,4.105080455541611,5.0
2013,4,1,4.0528252484897775,1.7356501333415508,3.0
2013,4,2,0.9508121386170388,4.789961079756419,3.0
2013,4,3,1.7692583290239174,4.747872531414032,4.0
2013,4,4,6.0044607520103455,3.661780814329783,2.0
2013,4,5,5.800703366597493,-0.3196415789425373,2.0
2013,4,6,2.325379528105259,0.8343322629346707,1.0
2013,4,7,3.909452753762404,-0.175749900440375,3.0
2013,4,8,4.796788275241852,-1.663743327061335,2.0
2013,4,9,5.272013425827026,-1.6268930236498516,1.0
2013,4,10,3.97311403354009,-0.6593468512097994,1.0
2013,4,11,2.1451853662729263,0.2909723687916994,2.0
2013,4,12,0.4803584506735205,0.905136172970136,2.0
2013,4,13,2.803613315025965,-0.9976094324762622,2.0
2013,4,14,0.7936617930730184,2.158809476842483,2.0
2013,4,15,0.8689652855197588,2.110457961757978,2.0
2013,4,16,1.3485061277945836,0.1170562375336885,2.0
2013,4,17,3.7887373864650726,-1.1476796865463257,2.0
2013,4,18,4.48025514682134,-0.3716832739883102,1.0
2013,4,19,3.2774929900964103,0.4964229219282667,2.0
2013,4,20,0.8520471002945366,2.948000028729439,2.0
2013,4,21,-0.4792298150326435,4.882409771283467,4.0
2013,4,22,0.0127479173243046,5.100244204203288,5.0
2013,4,23,4.919731557369232,3.876697657008966,5.0
