year,month,day,UMAP1,UMAP2,AQI
2013,3,1,12.482105414072672,14.704733292261759,1
2013,3,2,8.920547743638357,14.381834944089254,2
2013,3,3,10.951176762580872,11.414113203684488,3
2013,3,4,9.93929406007131,14.810391267140707,1
2013,3,5,6.898263613382976,16.021951874097187,4
2013,3,6,5.5421693325042725,14.57364579041799,5
2013,3,7,5.269128878911336,11.803393483161926,5
2013,3,8,11.169828573862711,7.148817400137584,5
2013,3,9,13.321173985799154,8.879373212655386,3
2013,3,10,9.689843654632568,15.015944798787435,2
2013,3,11,7.303484837214152,11.6662358045578,4
2013,3,12,10.280690034230549,10.159871617952982,4
2013,3,13,9.733631054560343,15.010390996932983,2
2013,3,14,6.32474672794342,15.698991974194845,3
2013,3,15,5.0891823172569275,15.908922592798868,5
2013,3,16,5.216390768686931,15.952112197875977,5
2013,3,17,7.723012387752533,12.075400869051615,6
2013,3,18,8.913618981838226,6.184030334154765,2
2013,3,19,4.791185955206553,4.617607106765111,2
2013,3,20,9.772280216217041,8.357511758804321,2
2013,3,21,10.028748194376627,8.520402411619822,4
2013,3,22,11.074269890785217,8.769975185394287,3
2013,3,23,11.853346784909567,11.04029647509257,2
2013,3,24,9.646932204564411,12.635735591252645,1
2013,3,25,6.676774064699809,11.379765470822653,3
2013,3,26,7.087761839230855,10.916412075360617,5
2013,3,27,11.683741569519043,10.809493978818258,3
2013,3,28,9.674959739049276,12.604890902837118,2
2013,3,29,8.244697054227194,12.441100319226583,3
2013,3,30,7.667692005634308,11.228612184524536,2
2013,3,31,7.674393514792125,10.80439039071401,5
2013,4,1,11.216081380844116,8.155898749828339,3
2013,4,2,7.954924126466115,9.298498511314392,3
2013,4,3,11.314140756924948,6.451600591341655,4
2013,4,4,9.966032028198242,8.877885858217875,2
2013,4,5,11.771419723828634,10.886964201927185,2
2013,4,6,12.222845117251078,6.674730360507965,1
2013,4,7,12.857917626698812,7.293229103088379,3
2013,4,8,13.335634549458822,9.807733615239462,2
2013,4,9,12.956799626350403,10.908567945162455,1
2013,4,10,12.47678836186727,10.625275810559591,1
2013,4,11,12.092762231826782,6.2699151039123535,2
2013,4,12,12.745718598365784,5.120597501595815,2
2013,4,13,13.32607670625051,6.630579551060994,2
2013,4,14,12.496387521425882,5.4743979175885515,3
2013,4,15,12.842899322509766,5.030553698539734,3
2013,4,16,12.006670753161112,4.666476269563039,2
2013,4,17,12.523526986440023,8.776396254698435,2
2013,4,18,11.819345037142435,9.90882440408071,1
2013,4,19,10.632684111595154,7.580827355384827,2
2013,4,20,10.692585428555807,6.549333949883779,2
2013,4,21,8.866868376731873,8.003960947195688,3
2013,4,22,6.738236248493195,10.540842652320862,5
2013,4,23,8.212159415086111,9.360032320022583,5
2013,4,24,13.231063286463419,7.171231130758922,4
2013,4,25,12.054031411806742,6.222410420576732,1
2013,4,26,12.34884794553121,4.390494227409363,3
2013,4,27,12.990572810173035,3.963265508413315,2
2013,4,28,13.725674668947855,6.070227364699046,2
2013,4,29,12.133835792541504,6.525340219338735,2
2013,4,30,11.952684760093689,5.852702518304189,2
2013,5,1,12.46259343624115,4.073085467020671,2
2013,5,2,12.659641742706299,3.4308564166227975,3
2013,5,3,12.675175189971924,3.3263469139734902,2
2013,5,4,13.188629309336344,1.6119269182284672,3
2013,5,5,13.484513401985168,0.8368301168084145,5
2013,5,6,13.333852529525757,0.5977455868075291,5
2013,5,7,12.997623006502787,1.671197025726239,4
2013,5,8,10.885088801383972,4.060902426640193,5
2013,5,9,10.890928030014038,4.207103818655014,2
2013,5,10,13.682958364486694,4.402208824952443,2
2013,5,11,13.890437165896097,4.55121378103892,2
2013,5,12,13.083863377571106,4.264421979586284,2
2013,5,13,13.273584564526876,4.910777191321055,3
2013,5,14,12.519213239351908,3.5714079439640045,2
2013,5,15,12.227164506912231,2.879845768213272,3
2013,5,16,12.638418515523275,3.4093777537345886,2
2013,5,17,13.241509159406027,1.49580384294192,3
2013,5,18,13.15453290939331,2.4647319962581,4
2013,5,19,13.843791564305624,3.658464789390564,2
2013,5,20,13.864631255467733,2.667685533563296,3
2013,5,21,13.433287858963013,0.964562863111496,3
2013,5,22,11.64429485797882,3.462913687030474,2
